Filename,Number of Slices
file1000007,38
file1000026,30
file1000033,33
file1000206,35
file1000254,32
file1000267,35
file1000277,42
file1000283,33
file1000308,36
file1000350,32
file1000464,36
file1000476,40
file1000537,35
file1000591,38
file1000635,39
file1000817,35
file1000858,33
file1000871,34
file1000885,30
file1000903,33
file1000925,30
file1000990,40
file1001077,35
file1001096,34
file1001104,35
file1001126,40
file1001144,35
file1001148,32
file1001184,37
file1001191,33
file1001262,37
file1001275,35
file1001429,42
file1001440,33
file1001444,35
file1001450,34
file1001655,37
file1001703,36
file1001930,40
file1001968,38
file1001977,32
file1001984,32
file1002257,30
file1002280,34
file1002351,46 (highest)
file1002389,39
file1002404,32
file1002417,36
file1002538,34
file1002546,42
